HOGI,MOD_DATE,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BRAND,GISONG,SPEED,CAPA,PLANT,ETHRU,CWT_SAFETY,CWT_BALANCE,CAR_BB,CAR_AA,MATERIAL
N28738L10,20260902,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28738L12,20260902,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
214648L01,20260806,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MRL,GTSS,60,550,KC01,,N,50,1305,1300,CONCRETE (시멘트)
213784L01,20260803,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MRL,GTSS,60,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
214617L01,20260812,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MRL,GTSS,60,1150,KC01,,N,50,1555,1850,CONCRETE (시멘트)
214759L01,20260803,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MRL,GTSS,60,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N28732L10,20260827,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N28732L21,20260827,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N28732L22,20260827,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N28732L23,20260827,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N28732L24,20260827,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,60,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
