PID,VERSION,NO,ADDR,GOTO,SPEC1,CON1,SPEC2,CON2,KEY1,VAL1,KEY2,VAL2,REMARKS
CAL_NEXBRAND_CMT,129,50,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,51,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BMDL,",VISC,NEOD,NEOD_A1",L_CMT,"- M1={EL_EWM1}, M2={EL_EWM2}, M3={EL_EWM3}, M4={EL_EWM4}, M5={EL_EWM5}, W1L={E322A_W1L}, W2L={E322A_W2L}",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",NEX+NEO는 M2값이 WALL과 CEILING이 같음
CAL_NEXBRAND_CMT,129,52,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BMDL,"!(VISC,NEOD,NEOD_A1)",L_CMT,"- M1={EL_EWM1}, M2={E321A_M2}, M3={EL_EWM3}, M4={EL_EWM4}, M5={EL_EWM5}",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",NEX는 M2값이 WALL과 CEILING이 다름 (WALL : ({EL_ECCA}-{E322A_M1})/2+21 / CEILING ({EL_ECCA}-{E322A_M1})/2+19)
CAL_NEXBRAND_CMT,129,53,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BMDL,"!(VISC,NEOD,NEOD_A1)",L_CMT,"- M3={EL_EWM3}, M4={EL_EWM4}, M5={EL_EWM5}",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,54,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,55,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_DBGMS,?SPK?,L_CMT,- 음성 합성장치용 및 BGM 용 스피커는 CAR TOP BOX 별도 동봉,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",M1C_0043
CAL_NEXBRAND_CMT,129,56,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_DBGMS,!?SPK?,L_CMT,- 음성 합성장치용 스피커는 OPB 적용,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,57,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,58,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCL,CDB3BA2,L_CMT,"- SPEAKER CASE 삭제할 것.
- 음성합성장치 및 BGM 홀에 방음패드 부착 할 것",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",M1C_0523
CAL_NEXBRAND_CMT,129,59,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCL,",CDB3BA2,CDI3IH0",L_CMT,- 비상등은 LIGHT ASS'Y (LED MODULE)에 포함된 일체형임.,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",M1C_0439
CAL_NEXBRAND_CMT,129,60,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",CEILING_PAD_CMT,N,L_CMT,"- CEILING PLATE 전면에 방음패드 부착할 것.(미끄럼 방지용, 일반 현장)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",M1C_0046
